indice,tiempo_s,velocidad_mps,velocidad_sin_media
543,54.304999999999964,0.96,0.021962686567164158
544,54.39999999999999,0.992,0.053962686567164186
545,54.503,1.033,0.09496268656716411
546,54.604,1.04,0.10196268656716423
547,54.70099999999998,1.023,0.0849626865671641
548,54.801,0.968,0.029962686567164165
549,54.90099999999997,0.915,-0.02303731343283577
550,55.00099999999999,0.876,-0.062037313432835806
551,55.10199999999999,0.927,-0.01103731343283576
552,55.20099999999998,1.01,0.0719626865671642
553,55.30399999999999,1.113,0.17496268656716418
554,55.40099999999997,1.13,0.1919626865671641
555,55.503,1.07,0.13196268656716426
556,55.60100000000001,1.047,0.10896268656716412
557,55.7,1.017,0.0789626865671641
558,55.80199999999998,1.069,0.13096268656716414
559,55.90099999999997,1.174,0.23596268656716413
560,56.000000000000014,1.158,0.2199626865671641
561,56.104,1.069,0.13096268656716414
562,56.20099999999998,1.019,0.0809626865671641
563,56.30399999999999,0.972,0.03396268656716417
564,56.39999999999999,0.966,0.027962686567164163
565,56.503,1.052,0.11396268656716424
566,56.60100000000001,1.109,0.17096268656716418
567,56.70099999999998,1.108,0.1699626865671643
568,56.80199999999998,1.07,0.13196268656716426
569,56.90099999999997,1.008,0.0699626865671642
570,57.00099999999999,0.945,0.006962686567164145
571,57.10100000000001,0.983,0.04496268656716418
572,57.20099999999998,1.046,0.10796268656716423
573,57.304999999999964,1.118,0.1799626865671643
574,57.40099999999997,1.119,0.1809626865671642
575,57.503,1.047,0.10896268656716412
576,57.602999999999966,0.974,0.03596268656716417
577,57.7,0.95,0.011962686567164149
578,57.80199999999998,0.936,-0.0020373134328357523
579,57.90099999999997,0.956,0.017962686567164154
580,58.000000000000014,1.047,0.10896268656716412
581,58.09999999999998,1.047,0.10896268656716412
582,58.2,1.015,0.0769626865671641
583,58.30399999999999,0.985,0.04696268656716418
584,58.39999999999999,0.939,0.0009626865671641394
585,58.503,0.976,0.03796268656716417
586,58.60100000000001,1.066,0.12796268656716425
587,58.7,1.096,0.15796268656716428
588,58.801,1.052,0.11396268656716424
589,58.89999999999999,0.977,0.03896268656716417
590,59.000000000000014,0.909,-0.029037313432835776
591,59.102999999999966,0.895,-0.04303731343283579
592,59.20099999999998,0.955,0.016962686567164154
593,59.30399999999999,1.092,0.15396268656716428
594,59.40099999999997,1.139,0.2009626865671642
595,59.50199999999997,1.12,0.1819626865671643
596,59.60100000000001,1.013,0.0749626865671641
597,59.70099999999998,0.932,-0.006037313432835756
598,59.801,0.922,-0.016037313432835765
